FG,H,PP,RA,SLP,SN,T,TM,TS,Tm,V,VG,VM,VV,altitud,continente,dia,estacion,idEstacion,latitud,longitud,mes,pais,year
-,82,0,-,-,-,6.4,8,-,3,33,87,50,6.8,57,Europa,1, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,66,0,-,-,-,2.9,5,-,-1,20.6,48.2,29.4,9.3,57,Europa,2, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,79,-,o,-,-,5.3,8,-,4,14.3,-,25.9,8.5,8,Europa,1, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,84,-,-,-,o,-0.1,3,-,-2,14.3,-,22.2,8,57,Europa,1, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,83,-,o,-,-,6.8,9,-,5,14.4,-,22.2,7.4,57,Europa,1, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,76,-,o,-,-,7.1,9,-,3,34.8,88.9,48.2,9,8,Europa,1, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,88,-,-,-,o,-0.7,0,-,-2,17.6,-,25.9,6.8,8,Europa,1, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,87,0,-,-,-,0.7,4,-,-2,10.4,-,13,10,57,Europa,3, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,94,-,o,-,-,3.1,6,-,0,22.6,-,31.7,6.4,57,Europa,4, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,79,-,o,-,-,6.3,9,-,3,14.1,48.2,29.4,10,8,Europa,2, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,89,-,o,-,-,9.8,11,-,9,23.7,64.8,35.2,7.2,8,Europa,3, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,92,-,o,-,o,0.1,1,-,-1,8.9,-,16.5,4.2,57,Europa,2, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,88,0,-,-,-,1.2,4,-,-1,14.3,-,20.6,6.3,57,Europa,3, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,73,-,o,-,-,6.3,9,-,4,13.7,-,20.6,9.8,57,Europa,2, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,78,-,o,-,-,10.7,12,-,9,32.4,55.4,38.9,9.5,57,Europa,3, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,62,0,-,-,-,4.4,7,-,0,18.7,64.8,38.9,10,8,Europa,2, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,88,-,o,-,-,2.7,6,-,-1,7,-,16.5,10,8,Europa,3, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,91,0,-,-,-,0.9,2,-,0,9.8,-,14.8,4.2,8,Europa,2, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,83,0,-,-,-,2.2,6,-,-1,11.9,-,16.5,8.9,8,Europa,3, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,93,-,o,-,-,7.4,8,-,6,23,-,31.7,6.8,57,Europa,5, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,95,-,o,-,-,6.6,7,-,6,12.6,-,16.5,6.6,57,Europa,6, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,8,Europa,4, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,8,Europa,5, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,4, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,-,-,o,-,-,-,-,o,-,-,-,-,-,57,Europa,4, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,-,-,o,-,o,-,-,-,-,-,-,-,-,57,Europa,5, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,89,-,o,-,-,5.7,7,-,3,20.6,-,25.9,6.9,8,Europa,4, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,94,-,o,-,-,7.9,8,-,7,27.6,57.6,35.2,4.7,8,Europa,5, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,8,Europa,4, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
o,-,-,-,-,-,-,-,-,-,-,-,-,-,8,Europa,5, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,92,-,o,-,-,6,8,-,5,22.2,51.9,33.5,6.4,57,Europa,7, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,8,Europa,6, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,5, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,6, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,6, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,96,-,o,-,-,6.9,8,-,6,15.4,-,20.6,6.3,8,Europa,6, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,8,Europa,6, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,83,-,o,-,-,5.9,7,-,4,35.7,77.8,51.9,9.3,57,Europa,8, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,70,-,-,-,o,2.9,4,-,2,24.8,55.4,35.2,10,57,Europa,9, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,81,-,o,-,-,8.9,11,-,6,26.7,81.7,46.5,9,8,Europa,7, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,72,-,o,-,-,6.7,9,-,5,26.5,66.5,44.6,8.9,8,Europa,8, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,70,-,o,-,-,6.2,9,-,4,20.7,-,31.7,10,57,Europa,7, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,72,-,o,-,-,7.6,9,-,6,25,46.5,31.7,10,57,Europa,8, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,64,-,o,-,-,10.5,14,-,7,31.3,83.5,55.4,9.8,57,Europa,7, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,93,-,o,-,-,7.1,9,-,6,22.2,55.4,42.4,6.1,8,Europa,7, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,82,-,o,-,-,6.9,9,-,5,27.4,88.9,50,7.2,8,Europa,7, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,85,-,o,-,o,0.9,2,-,0,9.1,-,14.8,8.7,57,Europa,10, Wunstorf,,52.45,9.43,Enero,Alemania,2019
o,93,-,o,-,-,4.3,7,-,1,20.9,-,27.8,5.3,57,Europa,11, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,78,-,o,-,-,6.8,10,-,5,34.4,85.2,51.9,9.5,8,Europa,9, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,68,-,o,-,-,8.4,10,-,7,33.2,77.8,46.5,10,57,Europa,9, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,68,-,o,-,-,7.6,9,-,6,30.2,77.8,48.2,9.8,57,Europa,8, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,75,-,o,-,-,7.7,11,o,5,33.3,88.9,59.4,9.2,57,Europa,9, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,78,-,o,-,o,6.7,8,-,4,40.4,96.5,57.6,9.2,8,Europa,8, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,67,0,-,-,-,3.9,6,-,1,25,53.5,35.2,9.8,8,Europa,9, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,86,-,o,-,-,7.2,9,-,5,27,66.5,33.5,9.2,8,Europa,8, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,75,-,o,-,-,7.8,9,-,7,33.7,74.1,44.6,10,8,Europa,9, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,89,-,o,-,-,6.1,7,-,5,25.4,50,35.2,8.7,57,Europa,12, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,8,Europa,10, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,91,-,o,-,-,5.8,7,-,4,14.8,-,22.2,9.8,57,Europa,1, Wunstorf,,52.45,9.43,Diciembre,Alemania,2013
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,10, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,-,-,o,-,o,-,-,-,-,-,-,-,-,57,Europa,10, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,89,-,o,-,-,2.3,4,-,0,7.8,-,13,7.1,8,Europa,10, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,8,Europa,10, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,65,-,o,-,-,14.6,18,-,11,17.8,-,27.8,10,57,Europa,1, Wunstorf,,52.45,9.43,Septiembre,Alemania,2013
-,69,0,-,-,-,8.3,14,-,3,15.4,-,27.8,10,57,Europa,1, Wunstorf,,52.45,9.43,Octubre,Alemania,2013
-,89,-,o,-,-,7.3,9,-,6,29.6,74.1,46.5,8.2,57,Europa,13, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,79,-,o,-,-,10.2,13,-,8,16.3,-,24.1,10,57,Europa,1, Wunstorf,,52.45,9.43,Noviembre,Alemania,2013
-,-,-,o,-,o,-,-,o,-,-,-,-,-,8,Europa,11, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
o,93,0,-,-,-,1.7,7,-,-1,4.6,-,11.1,6.9,57,Europa,2, Wunstorf,,52.45,9.43,Diciembre,Alemania,2013
-,92,0,-,-,-,0.1,5,-,-3,3.7,-,13,10,57,Europa,3, Wunstorf,,52.45,9.43,Diciembre,Alemania,2013
-,-,-,o,-,o,-,-,-,-,-,-,-,-,57,Europa,11, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,12, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,11, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,12, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
o,93,-,o,-,-,6.7,8,-,4,17.6,-,27.8,6.1,8,Europa,11, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,60,0,-,-,-,24.1,31,-,17,8.5,-,18.3,10,57,Europa,1, Wunstorf,,52.45,9.43,Agosto,Alemania,2013
-,92,-,o,1013.7,-,11.2,13,-,9.8,22.2,46.5,29.4,8,57,Europa,1, Wunstorf,,52.45,9.43,Junio,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,Europa,11, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,83,-,o,-,-,15.3,17,-,14,23,44.6,27.8,9.5,57,Europa,2, Wunstorf,,52.45,9.43,Septiembre,Alemania,2013
-,60,0,-,-,-,8.6,15,-,2,18.7,51.9,33.5,10,57,Europa,2, Wunstorf,,52.45,9.43,Octubre,Alemania,2013
-,76,-,o,-,o,3.4,6,-,1,28.5,64.8,44.6,9.8,57,Europa,14, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,83,-,o,-,-,5.1,7,-,2,27.6,57.6,35.2,8.4,57,Europa,15, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,95,-,o,-,-,9.7,12,-,8,10.6,-,18.3,7.4,57,Europa,2, Wunstorf,,52.45,9.43,Noviembre,Alemania,2013
-,79,-,o,-,-,9,12,o,5,23.5,59.4,31.7,10,57,Europa,3, Wunstorf,,52.45,9.43,Noviembre,Alemania,2013
-,60,0,-,1024.4,-,10.5,15.9,-,3,12,-,22.2,19.8,57,Europa,1, Wunstorf,,52.45,9.43,Mayo,Alemania,2013
-,70,0,-,1015.7,-,18.2,22,-,15,15.7,-,25.2,16.6,57,Europa,1, Wunstorf,,52.45,9.43,Julio,Alemania,2013
-,-,-,o,-,-,-,-,-,-,-,-,-,-,8,Europa,12, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,86,-,o,-,-,5.7,7,-,4,34.6,72.2,44.6,7.4,8,Europa,13, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,4, Wunstorf,,52.45,9.43,Diciembre,Alemania,2013
-,-,-,o,-,o,-,-,-,-,-,-,-,-,57,Europa,5, Wunstorf,,52.45,9.43,Diciembre,Alemania,2013
-,79,-,o,-,-,6.7,8,-,5,17.8,-,24.1,8.2,57,Europa,13, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,63,0,-,-,-,6.4,12,-,2,9.4,-,18.3,10,57,Europa,14, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,76,-,o,-,-,6,7,-,5,33,68.3,44.6,9.3,57,Europa,13, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,84,-,o,-,-,6.4,8,-,5,29.6,68.3,46.5,9.7,57,Europa,14, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,88,0,-,-,-,6.9,8,-,6,27.2,55.4,37,6.6,8,Europa,12, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,89,0,-,-,-,7.4,9,-,6,31.5,63,42.4,5.3,8,Europa,13, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,51,0,-,-,-,26.9,34,-,17,8.5,-,16.5,10,57,Europa,2, Wunstorf,,52.45,9.43,Agosto,Alemania,2013
-,59,-,o,-,-,23.8,28,-,19,13.5,-,24.1,10,57,Europa,3, Wunstorf,,52.45,9.43,Agosto,Alemania,2013
-,64,0,-,1021.9,-,11.3,15,-,8,24.3,-,35.9,21.9,57,Europa,2, Wunstorf,,52.45,9.43,Junio,Alemania,2013
-,66,0,-,1025.8,-,11.9,18,-,7,20.9,-,28.7,20.9,57,Europa,3, Wunstorf,,52.45,9.43,Junio,Alemania,2013
-,-,-,o,-,-,-,-,-,-,-,-,-,-,8,Europa,12, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,90,-,o,-,-,7.1,8,-,5,17.2,-,24.1,7.7,8,Europa,13, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,84,0,-,-,-,17.8,20,-,16,12.8,-,22.2,10,57,Europa,3, Wunstorf,,52.45,9.43,Septiembre,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,4, Wunstorf,,52.45,9.43,Septiembre,Alemania,2013
-,57,0,-,-,-,8.5,15,-,3,21.1,-,31.7,10,57,Europa,3, Wunstorf,,52.45,9.43,Octubre,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,4, Wunstorf,,52.45,9.43,Octubre,Alemania,2013
-,78,-,o,-,-,6.5,7,-,6,27,53.5,33.5,10,57,Europa,16, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,84,-,o,-,o,3.9,6,-,0,25.6,53.5,31.7,9.2,57,Europa,17, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,4, Wunstorf,,52.45,9.43,Noviembre,Alemania,2013
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,5, Wunstorf,,52.45,9.43,Noviembre,Alemania,2013
-,61,0,-,1021.2,-,12.6,15,-,9.4,11.5,-,18.3,17.1,57,Europa,2, Wunstorf,,52.45,9.43,Mayo,Alemania,2013
-,51,0,-,1018.2,-,12.7,18,-,8,9.3,-,14.4,20.4,57,Europa,3, Wunstorf,,52.45,9.43,Mayo,Alemania,2013
-,65,0,-,1014.3,-,17.4,22,-,12,7.8,-,11.1,19.3,57,Europa,2, Wunstorf,,52.45,9.43,Julio,Alemania,2013
-,79,-,o,1009.8,-,19.1,23,-,15,11.7,-,18.3,17.5,57,Europa,3, Wunstorf,,52.45,9.43,Julio,Alemania,2013
-,86,-,o,-,-,6.6,8,-,6,28.3,64.8,44.6,8.7,8,Europa,14, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,78,-,o,-,-,7.4,11,-,5,34.1,88.9,61.1,9.2,8,Europa,15, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,-,-,o,-,o,-,-,-,-,-,-,-,-,57,Europa,6, Wunstorf,,52.45,9.43,Diciembre,Alemania,2013
-,87,-,o,-,-,2.3,5,-,1,17,-,27.8,9.2,57,Europa,7, Wunstorf,,52.45,9.43,Diciembre,Alemania,2013
-,63,0,-,-,-,6.2,16,-,-1,6.1,-,11.1,10,57,Europa,15, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,16, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,72,-,o,-,-,8.1,13,-,6,30.7,72.2,48.2,9.5,57,Europa,15, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,16, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,71,-,o,-,o,4.3,6,-,2,25.7,64.8,38.9,9,8,Europa,14, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,86,-,o,-,-,6.4,8,-,4,30.7,64.8,42.4,7.2,8,Europa,15, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,4, Wunstorf,,52.45,9.43,Agosto,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,5, Wunstorf,,52.45,9.43,Agosto,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,4, Wunstorf,,52.45,9.43,Junio,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,5, Wunstorf,,52.45,9.43,Junio,Alemania,2013
-,79,0,-,-,-,5.1,11,-,1,9.8,-,16.5,9.2,8,Europa,14, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,65,0,-,-,-,6.1,13,-,0,8.3,-,13,10,8,Europa,15, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,5, Wunstorf,,52.45,9.43,Septiembre,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,6, Wunstorf,,52.45,9.43,Septiembre,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,5, Wunstorf,,52.45,9.43,Octubre,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,6, Wunstorf,,52.45,9.43,Octubre,Alemania,2013
-,81,0,-,-,-,0.6,3,-,-2,12.8,-,22.2,10,57,Europa,18, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,82,0,-,-,-,-1.1,2,-,-4,7.6,-,14.8,10,57,Europa,19, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,6, Wunstorf,,52.45,9.43,Noviembre,Alemania,2013
-,89,-,o,-,-,11.3,14,-,9,17.6,-,35.2,9,57,Europa,7, Wunstorf,,52.45,9.43,Noviembre,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,4, Wunstorf,,52.45,9.43,Mayo,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,5, Wunstorf,,52.45,9.43,Mayo,Alemania,2013
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,4, Wunstorf,,52.45,9.43,Julio,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,5, Wunstorf,,52.45,9.43,Julio,Alemania,2013
-,-,-,o,-,-,-,-,-,-,-,-,-,-,8,Europa,16, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,8,Europa,17, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,86,-,o,-,-,6.9,9,-,5,22.8,44.6,31.7,9.3,57,Europa,8, Wunstorf,,52.45,9.43,Diciembre,Alemania,2013
-,96,-,o,-,-,8.1,9,-,8,21.1,48.2,27.8,4.5,57,Europa,9, Wunstorf,,52.45,9.43,Diciembre,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,17, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,18, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,17, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,-,-,o,-,o,-,-,-,-,-,-,-,-,57,Europa,18, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,90,-,o,-,-,6.7,8,-,5,26.9,64.8,38.9,6.3,8,Europa,16, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,86,-,o,-,o,3.3,5,-,1,18.7,53.5,33.5,8.9,8,Europa,17, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,-,-,o,-,-,-,-,o,-,-,-,-,-,57,Europa,6, Wunstorf,,52.45,9.43,Agosto,Alemania,2013
-,79,-,o,-,-,19.1,24,-,15,14.1,-,27.8,10,57,Europa,7, Wunstorf,,52.45,9.43,Agosto,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,6, Wunstorf,,52.45,9.43,Junio,Alemania,2013
-,54,0,-,1021,-,19.2,25,-,11,8.9,-,14.8,29,57,Europa,7, Wunstorf,,52.45,9.43,Junio,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,Europa,16, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,Europa,17, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,78,0,-,-,-,19.8,25,-,15,7.4,-,16.5,7.4,57,Europa,7, Wunstorf,,52.45,9.43,Septiembre,Alemania,2013
-,89,0,-,-,-,15.4,18,-,13,9.6,-,29.4,7.4,57,Europa,8, Wunstorf,,52.45,9.43,Septiembre,Alemania,2013
-,79,0,-,-,-,13.9,17,-,12,3.7,-,7.6,10,57,Europa,7, Wunstorf,,52.45,9.43,Octubre,Alemania,2013
-,83,0,-,-,-,13.8,16,-,12,5.4,-,11.1,9.5,57,Europa,8, Wunstorf,,52.45,9.43,Octubre,Alemania,2013
o,91,0,-,-,-,-4.6,-2,-,-7,6.7,-,13,4.7,57,Europa,20, Wunstorf,,52.45,9.43,Enero,Alemania,2019
o,79,0,-,-,-,-3.3,1,-,-8,7.8,-,16.5,6.4,57,Europa,21, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,92,-,o,-,-,8.9,11,-,7,7.6,-,14.8,9.7,57,Europa,8, Wunstorf,,52.45,9.43,Noviembre,Alemania,2013
-,72,-,o,-,-,8.9,11,-,7,25,70.6,40.7,10,57,Europa,9, Wunstorf,,52.45,9.43,Noviembre,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,6, Wunstorf,,52.45,9.43,Mayo,Alemania,2013
-,82,-,o,1016.8,-,14.1,18,-,10,9.8,-,24.1,13.2,57,Europa,7, Wunstorf,,52.45,9.43,Mayo,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,6, Wunstorf,,52.45,9.43,Julio,Alemania,2013
-,56,0,-,1031.1,-,20.1,26.3,-,12,7.8,-,11.1,23.8,57,Europa,7, Wunstorf,,52.45,9.43,Julio,Alemania,2013
-,-,-,o,-,o,-,-,-,-,-,-,-,-,8,Europa,18, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,70,0,-,-,-,5.6,9,-,3,10.6,-,18.3,10,8,Europa,19, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
o,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,10, Wunstorf,,52.45,9.43,Diciembre,Alemania,2013
o,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,11, Wunstorf,,52.45,9.43,Diciembre,Alemania,2013
-,70,-,o,-,-,8.3,10,-,7,23.2,50,35.2,9.7,57,Europa,19, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,70,0,-,-,-,7.9,10,-,6,15.4,-,22.2,10,57,Europa,20, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,69,0,-,-,-,5.1,9,-,2,14.4,-,24.1,10,57,Europa,19, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
